Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,01,欢迎光临！,dummy,환영합니다!,hotel_lesson_01_conv_01,,Lesson 1 = 교과서 Lesson 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,02,您好！我叫金唆星。昨天已经打电话预订了房间。,dummy,안녕하세요. 저는 김준성이라고 합니다. 어제 전화로 방을 예약했는데요.,hotel_lesson_01_conv_02,,글씨는 해석이 부자연스러워요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,03,请稍等，我帮您查一下。金唆星先生，一个单人间，对吗？,dummy,잠시만 기다려주세요. 제가 찾아보겠습니다. 김준성 선생님 1인실 맞으신가요?,hotel_lesson_01_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,04,是的。,dummy,네 맞습니다.,hotel_lesson_01_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,05,请出示您的护照。请问您住几天？,dummy,여권주시고요. 며칠 간 묵으실 건가요?,hotel_lesson_01_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,06,两天。,dummy,이틀이요.,hotel_lesson_01_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,07,"1206号房间, 这是房卡，请您拿好。",dummy,"네, 1206호 방입니다. 여기 방 키 입니다, 받아주세요.",hotel_lesson_01_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,회화,08,谢i射！,dummy,감사합니다.,hotel_lesson_01_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,단어,01,光临,dummy,(높임말)광림(光临)하다. 왕림(枉临)하다. 내림(来临)하다.,hotel_lesson_01_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,단어,02,打电话,dummy,전화를 걸다,hotel_lesson_01_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,단어,03,预订,dummy,예약하다,hotel_lesson_01_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,01,단어,04,房间,dummy,방(房),hotel_lesson_01_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
